TEST#0,"""Isso é um teste."""
LogBalloon_Guild#0,"""<pict Guilda>3. Guilda"""
LogBalloon_System#0,"""7. Sistema"""
LogBalloon_NPC#0,"""6. Personagem"""
LogBalloon_Whisper#0,"""<pict Sussurro>4. Sussurro"""
LogRange_Public#0,"""1. Enviar para Por Perto"""
LogRange_Party#0,"""<pict Equipe>2. Equipe"""
LogRange_Guild#0,"""<pict Guilda>3. Guilda"""
LogRange_Whisper#0,"""<pict Sussurro>4. Sussurro"""
LogRangeTab_Public#0,"""1. Por Perto"""
LogRangeTab_Party#0,"""<pict Equipe>2. Equipe"""
LogRangeTab_Guild#0,"""<pict Guilda>3. Guilda"""
LogRangeTab_Whisp#0,"""<pict Sussurro>4. Sussurro"""
WhisperSendTo#0,"""Enviado para $(0)"""
LogName_System#0,"""Sistema"""
LogButton_Send#0,"""Enviar"""
LogButton_Input#0,"""Iniciar chat com <%ChatStart>"""
LogButton_Input_ooo#0,"""-"""
LogButton_DirectChat#0,"""Modo de Mensagem Direta"""
LogButton_Range_Vita#0,"""O Chat"""
LogButton_Log_Vita#0,"""O Log"""
LogButton_Reset_Vita#0,"""Limpar"""
LogToast_ShortLog#0,"""ショートログ表示開始。自分をタッチすると非表示になります。"""
LogShortCutEdit#0,"""Edicao Completa"""
LogButton_Balloon#0,"""Balao"""
LogButton_Manpu#0,"""Pictogramas de Manga"""
LogButton_Cutin#0,"""Encaixes"""
LogButton_SE#0,"""-"""
LogButton_Voice#0,"""-"""
LogButton_Color#0,"""-"""
LogButton_Emoji#0,"""-"""
LogButton_Twitter#0,"""-"""
LogButton_LobbyAction#0,"""Acoes do Lobby"""
LogButton_Symbol#0,"""Artes Simbolicas"""
LogButton_ContinuousInput#0,"""Entrada Continua"""
DirectChatBegin#0,"""Mensagem Direta habilitada."""
DirectChatEnd#0,"""Mensagem Direta desabilitada."""
DirectChatEndTmp#0,"""Mensagem Direta temporariamente desabilitada."""
DirectChatBlacklist#0,"""Recipiente esta na lista negra. Nao é possivel enviar mensagen."""
Log_Toast_Whisper_Name_Fail#0,"""Selecionar o recipiente do Chat de Sussurros dos botões... ."""
Log_Toast_Unknown_Whisper#0,"""Destino do Sussurro nao especificado."""
Log_Toast_Disable_Whisper_SymbolArt#0,"""Voce nao pode mandar arte simbolica pelo chat de sussurros."""
Log_Toast_Disable_TeamChat#0,"""Voce nao pode mandar uma mensagem para uma guilda a nao ser que voce seja um membro. Verifique o recipiente da mensagem."""
Log_Welcome#0,"""Bem-vindo (a) ao <lt>$(0)<rt>!"""
Log_KeyHelp#0,"""Bem-vindo (a) ao Phantasy Star Online 2!<br>Nota: A versao mais recente desta patch esta disponivel pelo PSO2 Tweaker no<br><url http://arks-layer.com>.<br>Obrigada ao time da PSUMods por suas traduçoes."""
Log_ItemGet#0,"""$(0) recebido."""
Log_CapsuleGet#0,"""Recebeu item virtual $(0). Visualizar no Terminal Extremo."""
LogSymbolArt#0,"""Arte simbolica exibida."""
LogWhisperEmpty#0,"""Log de sussurros vazio."""
LogGroupChatEmpty#0,"""O Chat do Grupo nao pode ser usado nesta area."""
LogWhisperButtonText#0,"""…"""
Tab#0,"""Aba $(0)"""
TabChange_Title#0,"""Mudar Aba do Canal"""
Bubble_Normal#0,"""Padrão"""
Bubble_Surprise#0,"""Enfatizar"""
Bubble_Question#0,"""Incerto"""
ManpuCategory_01#0,"""Positivo"""
ManpuCategory_02#0,"""Negativo"""
ManpuCategory_03#0,"""Combinacoes Positivas"""
ManpuCategory_04#0,"""Combinacoes Negativas"""
Manpu_None#0,"""Nenhum"""
Manpu_1#0,"""Suor 1"""
Manpu_2#0,"""Suor 2"""
Manpu_3#0,"""Irritacao"""
Manpu_4#0,"""Ectoplasma"""
Manpu_5#0,"""Depressao"""
Manpu_6#0,"""Corar"""
Manpu_7#0,"""Morte"""
Manpu_8#0,"""Caveira"""
Manpu_9#0,"""Ideia"""
Manpu_10#0,"""Besta"""
Manpu_11#0,"""Suspirar"""
Manpu_12#0,"""Raiva"""
Manpu_13#0,"""Descontente"""
Manpu_15#0,"""Risada"""
Manpu_16#0,"""Coraçoes"""
Manpu_17#0,"""Notas"""
Manpu_18#0,"""Exclamar"""
Manpu_19#0,"""Questionar"""
Manpu_20#0,"""Exclamar/Questionar"""
Manpu_21#0,"""Sonolento"""
Manpu_22#0,"""Surpresa"""
Manpu_23#0,"""Depressao+Suor 1"""
Manpu_24#0,"""Suor 2+Corar"""
Manpu_25#0,"""Descontente+Irritacao"""
Manpu_26#0,"""Irritacao+Exclamar"""
Manpu_27#0,"""Depressao+Suspiro"""
Manpu_28#0,"""Besta+Corar"""
Manpu_29#0,"""Corar+Raiva"""
Manpu_30#0,"""Ectoplasma+Caveira"""
Manpu_31#0,"""Ideia+Exclamar/Questionar"""
Manpu_32#0,"""Besta+Coracoes"""
Manpu_33#0,"""Raiva+Suspiro"""
Manpu_34#0,"""Descontente+Exclamar"""
Manpu_35#0,"""Descontente+Exclamar/Questionar"""
Manpu_36#0,"""Surpresa+Exclamar"""
Manpu_37#0,"""Risada+Coracoes"""
Manpu_38#0,"""Risada+Notas"""
Manpu_39#0,"""Raiva+Questionar"""
Cutin_Face_None#0,"""Nenhum"""
Cutin_Face_Normal#0,"""Padrão"""
Cutin_Face_Smile#0,"""Sorrindo"""
Cutin_Face_Anger#0,"""Com Raiva"""
Cutin_Face_Sad#0,"""Triste"""
Cutin_Face_Dubious#0,"""Desconfiado"""
Cutin_Face_Close#0,"""Olhos Fechados"""
Cutin_Face_Smile2#0,"""Sorriso 2"""
Cutin_Face_Wink#0,"""Piscadela"""
Cutin_Camera_Front#0,"""De Frente"""
Cutin_Camera_SideFront#0,"""Do Angulo"""
Cutin_Camera_SideFrontUp#0,"""Do Angulo de Cima"""
Cutin_Camera_SideFrontDown#0,"""Do Angulo de Baixo"""
Cutin_Camera_Side#0,"""De Lado"""
LogKind_Group#0,"""Log: Grupo"""
LogTitleLobbyAction#0,"""Selecionar Acao do Lobby"""
LogBalloon_Group#0,"""<pict Grupo>5. Grupo"""
LogRange_Public_Challenge#0,"""1. Enviar para Perto"""
LogRange_Public_Poka#0,"""1. Falar com Union"""
LogRange_Group#0,"""<pict Grupo>5. Chat em Grupo"""
LogAnnounce_Show#0,"""Mudar"""
LogAnnounce_Speak#0,"""Mudar"""
LogAnnounce_Plus#0,"""+"""
LogAnnounce_Delete#0,"""<%Function>1. Deletar Personagem"""
LogRangeTab_Public_Challenge#0,"""1. Todas as Areas"""
LogRangeTab_Public_Poka#0,"""1. União"""
LogRangeTab_Group#0,"""<pict Grupo>5. Grupo"""
LogButton_ChatNG#0,"""Sem Entrada no Chat"""
LogButton_Shortcut#0,"""<%ChatStart>Lista de Atalhos"""
LogButton_Input_Party#0,"""<pict Equipe><%ChatStart>Iniciando Chat"""
LogButton_Input_Guild#0,"""<pict Guilda><%ChatStart>Iniciando Chat"""
LogButton_Input_Whisper#0,"""<pict Sussurro><%ChatStart>Iniciando Chat"""
LogButton_ShortcutPad#0,"""<%ChatStartPad> Iniciar Chat"""
LogButton_ShortcutPad_ooo#0,"""Iniciar chat com <pict na_view_hold>"""
LogButton_InputPad#0,"""<%ChatStartPad> Iniciar Chat"""
LogButton_InputPad_ooo#0,"""Iniciar chat com <pict na_view_hold>"""
LogButton_Input_PartyPad#0,"""<pict Equipe><%ChatStartPad> Iniciar Chat"""
LogButton_Input_GuildPad#0,"""<pict Guilda><%ChatStartPad> Iniciar Chat"""
LogButton_Input_WhisperPad#0,"""<pict Sussurro><%ChatStartPad> Iniciar Chat"""
LogButton_DirectChat_Party#0,"""<pict Equipe>Modo de Mensagem Direta"""
LogButton_DirectChat_Guild#0,"""<pict Guilda>Modo de Mensagem Direta"""
LogButton_DirectChat_Whisper#0,"""<pict Sussurro>Modo de Mensagem Direta"""
LogButton_ShortcutCloud#0,"""Pressione e segure <%MainMenu> para conversar."""
LogButton_InputCloud#0,"""Pressione e segure <%MainMenu> para conversar."""
Log_Toast_Disable_TeamChat_ChallengeShip#0,"""Chat da Guilda esta indisponivel quando estiver numa nave compartilhada."""
Log_Toast_Disable_TeamChat_Poka#0,"""Chat da Guilda esta indisponivel no momento."""
Log_Toast_Nouse_Poka_Whisper#0,"""Chat de Sussurros fica indisponivel durante batalha."""
Log_Toast_Disable_GroupChat#0,"""Chats em Grupo exigem pelo menos 2 membros."""
Log_Toast_Disable_GroupChat_NotActive#0,"""Nenhum grupo foi encontrado."""
Log_Toast_Disable_GroupChat_NotUseArea#0,"""Nenhum grupo registrados."""
LogBoostEventInfo#0,"""Informacao do Evento"""
ArksRanking_JoinText#0,"""Agora voce esta participando da Liga ARKS. Por favor verifique os detalhes do evento."""
ArksRanking_RewardText#0,"""<pict Novo>Voce tem recompensas nao coletadas da Liga ARKS. Por favor veja o Administrador da Liga ARKS."""
GuildAddContentsPointOwn#0,"""Obteve $(0)TP."""
GuildAddContentsPointMix#0,"""Ao jogar na Nave Universal, voce obteve $(0)TP."""
OpenChannelTab#0,"""-"""
ChannelPopupItem1#0,"""-"""
ChannelPopupItem2#0,"""-"""
ChannelPopupItem3#0,"""-"""
TabHeader1#0,"""-"""
TabHeader2#0,"""-"""
PopupItem1#0,"""-"""
PopupItem2#0,"""-"""
PopupItem3#0,"""-"""
PopupItem4#0,"""-"""
PopupItem5#0,"""-"""
PopupItem6#0,"""-"""
PopupItem7#0,"""-"""
PopupItem8#0,"""-"""
PopupItem9#0,"""-"""
Title_ViewMode#0,"""-"""
Title_NewChannel#0,"""-"""
LobbyAction_Monomane#0,"""Imitar"""
LobbyAction_Reaction#0,"""Reacao"""
LobbyAction_Greet#0,"""Cumprimentar"""
LobbyAction_Wave#0,"""Acenar"""
LobbyAction_Bow#0,"""Curvar"""
LobbyAction_Salute#0,"""Saudacao"""
LobbyAction_Yes#0,"""Sim"""
LobbyAction_No#0,"""Nao"""
LobbyAction_Sorry#0,"""Pedir Desculpas"""
LobbyAction_Provoke#0,"""Irritar"""
LobbyAction_Praise#0,"""Elogiar"""
LobbyAction_Kiss#0,"""Beijar"""
LobbyAction_Howareyou#0,"""Como vai voce?"""
LobbyAction_You#0,"""Apontar"""
LobbyAction_Yell#0,"""Dar Vivas"""
LobbyAction_Guts#0,"""Mostrar espirito de luta"""
LobbyAction_Laugh#0,"""Rir"""
LobbyAction_Clap#0,"""Aplaudir"""
LobbyAction_Sit1#0,"""Sentar 1"""
LobbyAction_Sit2#0,"""Sentar 2"""
LobbyAction_Pose1#0,"""Fazer Pose 1"""
LobbyAction_Pose2#0,"""Fazer Pose 2"""
LobbyAction_Dance1#0,"""Dancar 1"""
LobbyAction_Dance2#0,"""Dancar 2"""
LobbyAction_darkerblast#0,"""DARK BLAST"""
LobbyAction_darkblast2#0,"""DARK BLAST 2"""
LobbyAction_darkblast3#0,"""DARK BLAST 3"""
LobbyAction_darkblast4#0,"""DARK BLAST 4"""
LobbyAction_Liveit#0,"""Deixa Comigo!"""
LobbyAction_Deny#0,"""Relutancia"""
LobbyAction_Tired#0,"""Cansado"""
LobbyAction_Happy#0,"""Encantado"""
LobbyAction_Angry#0,"""Com Raiva"""
LobbyAction_Sad#0,"""Triste"""
LobbyAction_Fun#0,"""Animado"""
LobbyAction_Disgust#0,"""Com Nojo"""
LobbyAction_Worry#0,"""Preocupacao"""
LobbyAction_Shy#0,"""Timidez"""
LobbyAction_Surprise#0,"""Surpresa"""
LobbyAction_Frustrated#0,"""Frustracao"""
LobbyAction_Cry#0,"""Chorar"""
LobbyAction_Ball#0,"""Bola"""
LobbyAction_Peep#0,"""Espiar"""
LobbyAction_Flag#0,"""Levantar Bandeira"""
LobbyAction_Mdtrn#0,"""Fazer Pose 6"""
LobbyAction_Sit3#0,"""Sentar 3"""
LobbyAction_mdpose_a1#0,"""Fazer Pose 7"""
LobbyAction_mdpose_b1#0,"""Fazer Pose 8"""
LobbyAction_yesorno#0,"""O ou X"""
LobbyAction_cam#0,"""Ações de Camera"""
LobbyAction_pray#0,"""Adorar"""
LobbyAction_hima#0,"""Admirar"""
LobbyAction_Bed1#0,"""Cama 1"""
LobbyAction_Bed2#0,"""Cama 2"""
LobbyAction_Sexy#0,"""Sensual"""
LobbyAction_Drunk#0,"""Bebado"""
LobbyAction_Pose3#0,"""Fazer Pose 3"""
LobbyAction_Pose4#0,"""Fazer Pose 4"""
LobbyAction_Pose5#0,"""Fazer Pose 5"""
LobbyAction_Proudback#0,"""Orgulho das Costas"""
LobbyAction_Proudarm#0,"""Orgulho dos Bracos"""
LobbyAction_Proudleg#0,"""Orgulho das Pernas"""
LobbyAction_Dance3#0,"""Dancar 3"""
LobbyAction_Dance4#0,"""Dancar 4"""
LobbyAction_Dance5#0,"""Dancar 5"""
LobbyAction_Sing#0,"""Cantar"""
LobbyAction_Gj#0,"""Bom Trabalho!"""
LobbyAction_Pleasure#0,"""Insuportavel!"""
LobbyAction_Talk#0,"""Inspirar"""
LobbyAction_Pains#0,"""Doloroso"""
LobbyAction_Mc#0,"""Performance Musical"""
LobbyAction_Dance6#0,"""Dancar 6"""
LobbyAction_clight1#0,"""Animar com Glowstick 1"""
LobbyAction_clight2#0,"""Animar com Glowstick 2"""
LobbyAction_clight3#0,"""Animar com Glowstick 3"""
LobbyAction_Dance7#0,"""Dancar 7"""
LobbyAction_Dance8#0,"""Dancar 8"""
LobbyAction_go#0,"""Vai!"""
LobbyAction_moji#0,"""Envergonhado"""
LobbyAction_comic#0,"""Dupla de Comedia"""
LobbyAction_present#0,"""Presente"""
LobbyAction_water_a#0,"""Molhar"""
LobbyAction_water_b#0,"""Molhado"""
LobbyAction_hot#0,"""Quente"""
LobbyAction_kagamu#0,"""Atrair"""
LobbyAction_Dance9#0,"""Dancar 9"""
LobbyAction_Dance10#0,"""Dancar 10"""
LobbyAction_Dance11#0,"""Dancar 11"""
LobbyAction_Dance12#0,"""Dancar 12"""
LobbyAction_Sit4#0,"""Sentar 4"""
LobbyAction_Sit5#0,"""Sentar 5"""
LobbyAction_mdpose_a2#0,"""Cruzar Bracos"""
LobbyAction_mdpose_b2#0,"""Viva!"""
LobbyAction_mdpose_a3#0,"""Modelo 1"""
LobbyAction_mdpose_b3#0,"""Modelo 2"""
LobbyAction_animal#0,"""Animalesco"""
LobbyAction_taiso#0,"""Aquecimento"""
LobbyAction_boxing#0,"""Boxeando"""
LobbyAction_enemy#0,"""Inimigo 1"""
LobbyAction_riseki#0,"""Esperando"""
LobbyAction_kick#0,"""Chute"""
LobbyAction_punch#0,"""Batendo"""
LobbyAction_chiba#0,"""Tecnica Secreta"""
LobbyAction_ochokuri#0,"""Provocar"""
LobbyAction_kimepose#0,"""Fazer Pose 9"""
LobbyAction_mdwalk#0,"""Andar feito Modelo"""
LobbyAction_kashige#0,"""Inclinar a Cabeca"""
LobbyAction_hello2#0,"""Cumprimento 2"""
LobbyAction_aid2#0,"""Dar Vivas 2"""
LobbyAction_pains2#0,"""Falar Mal"""
LobbyAction_chu2#0,"""Fazer Pose 10"""
LobbyAction_salute2#0,"""Saudar 2"""
LobbyAction_ichitarou#0,"""IchitarO"""
LobbyAction_enomoto#0,"""EnomotO"""
LobbyAction_symbolP#0,"""Simbolo P"""
LobbyAction_symbolS#0,"""Simbolo S"""
LobbyAction_symbolO#0,"""Simbolo O"""
LobbyAction_symbol2#0,"""Simbolo 2"""
LobbyAction_wave2#0,"""Acenar 2"""
LobbyAction_bow2#0,"""Cumprimentar 2"""
LobbyAction_kanpai#0,"""Brindar"""
LobbyAction_sc5#0,"""Danca SC5"""
LobbyAction_fireworks#0,"""Fogos de Artificio"""
LobbyAction_pose11#0,"""Fazer Pose 11"""
LobbyAction_pose12#0,"""Banzai!"""
LobbyAction_champagne#0,"""Vitoria"""
LobbyAction_imitateBB#0,"""Beisebol no Ar"""
LobbyAction_fishing#0,"""Pescando"""
LobbyAction_yopparai#0,"""Bebado"""
LobbyAction_enomoto4#0,"""EnomotO 4"""
LobbyAction_virtualon#0,"""Virtual-ON"""
LobbyAction_pose13#0,"""Fazer Pose 12"""
LobbyAction_kyouki#0,"""Alegre"""
LobbyAction_line#0,"""Linha"""
LobbyAction_pose14#0,"""Fazer Pose 13"""
LobbyAction_halloween#0,"""Doces Por Favor"""
LobbyAction_crash#0,"""Surpreendido"""
LobbyAction_cracker#0,"""Faiscas"""
LobbyAction_pose15#0,"""Fazer Pose 14"""
LobbyAction_massgame1#0,"""Quadro Vermelho & Azul"""
LobbyAction_massgame2#0,"""Quadro Verde & Amarelo"""
LobbyAction_massgame3#0,"""Quadro Branco & Preto"""
LobbyAction_pose16#0,"""Fazer Pose 15"""
LobbyAction_ice#0,"""Guerra de Neve"""
LobbyAction_eieio#0,"""Hip Hip Hurra!"""
LobbyAction_kick2#0,"""Chute 2"""
LobbyAction_stylish#0,"""Pulo S"""
LobbyAction_symbol0#0,"""Simbolo Zero"""
LobbyAction_symbol1#0,"""Simbolo 1"""
LobbyAction_symbol3#0,"""Simbolo 3"""
LobbyAction_symbol4#0,"""Simbolo 4"""
LobbyAction_symbol5#0,"""Simbolo 5"""
LobbyAction_symbol6#0,"""Simbolo 6"""
LobbyAction_symbol7#0,"""Simbolo 7"""
LobbyAction_symbol8#0,"""Simbolo 8"""
LobbyAction_symbol9#0,"""Simbolo 9"""
LobbyAction_bubble#0,"""Bolhas de Sabao"""
LobbyAction_enemy2#0,"""Inimigo 2"""
LobbyAction_umbrella1#0,"""Guarda-Chuva de Ar"""
LobbyAction_umbrella2#0,"""Guarda-Chuva Real"""
LobbyAction_dummy#0,"""Bobo"""
LobbyAction_eat#0,"""Comer"""
LobbyAction_pose18#0,"""Fazer Pose 17"""
LobbyAction_fear#0,"""Assustado"""
LobbyAction_clean#0,"""Varrendo"""
LobbyAction_virtualon2#0,"""Virtual-ON 2"""
LobbyAction_volley#0,"""Volei de Praia"""
LobbyAction_pose19#0,"""Fazer Pose 18"""
LobbyAction_fireworks2#0,"""Fogos de Artificio 2"""
LobbyAction_pose20#0,"""Fazer Pose 19"""
LobbyAction_freekick#0,"""Free Kick"""
LobbyAction_pose21#0,"""Fazer Pose 20"""
LobbyAction_jump#0,"""Saltitando"""
LobbyAction_pose22#0,"""Fazer Pose 21"""
LobbyAction_aura#0,"""Fazer Pose ARKS"""
LobbyAction_surprise2#0,"""Surpresa 2"""
LobbyAction_magichat#0,"""Truque de Magica"""
LobbyAction_pose23#0,"""Fazer Pose 22"""
LobbyAction_Sdogeza#0,"""Salto Mortal"""
LobbyAction_bow3#0,"""Cumprimentar 3"""
LobbyAction_jelly#0,"""Bebida Doce"""
LobbyAction_kouhoutai2#0,"""Ramen Fresco"""
LobbyAction_kouhoutai3#0,"""Airin"""
LobbyAction_airiai#0,"""Air Iai"""
LobbyAction_nekopose#0,"""Fazer Pose de Gato"""
LobbyAction_kancho#0,"""Cutucar Bundar"""
LobbyAction_bang#0,"""Bang Bang"""
LobbyAction_gravure#0,"""Fazer Pose de Gravura 2"""
LobbyAction_bouquet#0,"""Buque"""
LobbyAction_change#0,"""Despertar"""
LobbyAction_watermelon#0,"""Rachando Melancia"""
LobbyAction_hug#0,"""Abraco"""
LobbyAction_pose24#0,"""Fazer Pose 23"""
LobbyAction_janken#0,"""Pedra, Papel, Tesoura"""
LobbyAction_icchou#0,"""Palma Solitaria"""
LobbyAction_flash#0,"""Inspiracao"""
LobbyAction_sulk#0,"""Emburrado"""
LobbyAction_gravitydaze#0,"""Manipulando a Gravidade"""
LobbyAction_pose25#0,"""Fazer Pose 24"""
LobbyAction_emiria#0,"""Fazer Pose da Emilia"""
LobbyAction_beckon#0,"""Convidando"""
LobbyAction_persona5#0,"""Persona 5"""
LobbyAction_stroke#0,"""Acariciar"""
LobbyAction_pardon#0,"""Pardon"""
LobbyAction_papercraft#0,"""Aviao de Papel"""
LobbyAction_tub#0,"""Banheira"""
LobbyAction_mock#0,"""Zombar"""
LobbyAction_circle#0,"""Amontoar"""
LobbyAction_nira#0,"""Automata"""
LobbyAction_tasty#0,"""Saboroso"""
LobbyAction_kabuki#0,"""Kabuki"""
LobbyAction_hagibeto#0,"""Aglomerado Mother 1"""
LobbyAction_orqufull#0,"""Aglomerado Mother 2"""
LobbyAction_koori#0,"""Aglomerado Mother 3"""
LobbyAction_fukitobasu#0,"""Blow Off"""
LobbyAction_ghost#0,"""Fantasma"""
LobbyAction_hitugipose#0,"""Fazer Pose da Hitsugi"""
LobbyAction_warpose#0,"""Fazer Pose da Vitoria 1"""
LobbyAction_missile#0,"""Missil"""
LobbyAction_pitfall#0,"""Armadilha"""
LobbyAction_swordpose#0,"""Fazer Pose com Espada"""
LobbyAction_dfwarp#0,"""DF Warp"""
LobbyAction_spearpose#0,"""Fazer Pose com Lanca"""
LobbyAction_kendama#0,"""Kendama"""
LobbyAction_atorie#0,"""Atelier"""
LobbyAction_dengekipose#0,"""Fazer Pose de Dengeki"""
LobbyAction_winnerpose2#0,"""Fazer Pose da Vitoria 2"""
LobbyAction_mothercluster4#0,"""Aglomerado Mother 4"""
LobbyAction_mothercluster5#0,"""Aglomerado Mother 5"""
LobbyAction_deadoralive1#0,"""Fazer Pose de Vitoria DOA"""
LobbyAction_deadoralive2#0,"""Combo DOA"""
LobbyAction_magicbookpose#0,"""Fazer Pose com Livro Magico"""
LobbyAction_curse2#0,"""Falar Mal 2"""
LobbyAction_swordpose2#0,"""Fazer Pose com a Espada de Laconium"""
LobbyAction_hunting#0,"""Cacar"""
LobbyAction_heart#0,"""Fazer um Coracao"""
LobbyAction_magicsword#0,"""Encantar Arma"""
LobbyAction_throw#0,"""Jogar Bomba"""
LobbyAction_staffpose#0,"""Fazer Pose com a Varinha"""
LobbyAction_virtualon3#0,"""Virtual-On 3"""
LobbyAction_yuyuyu#0,"""Ativando Sistema de Heroi"""
LobbyAction_chant#0,"""Feitico Magico"""
LobbyAction_rezero#0,"""Re:Zero"""
LobbyAction_taikyokuken#0,"""Tai Chi"""
LobbyAction_greatswordpose#0,"""Fazer Pose com a Greatsword"""
LobbyAction_acchimuite#0,"""Olha Ali"""
LobbyAction_hitouch#0,"""High Five"""
LobbyAction_umbrella3#0,"""Segurar Guarda-Chuva"""
LobbyAction_peekaboo#0,"""Peek-a-Boo"""
LobbyAction_ninja#0,"""Ninja"""
LobbyAction_luncherpose#0,"""Fazer Pose com Bazuca"""
LobbyAction_koiyakan#0,"""Love Kettle"""
LobbyAction_twoshot#0,"""Two-Shot"""
LobbyAction_volcano2#0,"""MHF2"""
LobbyAction_p3colabo#0,"""Persona 3"""
LobbyAction_p4colabo#0,"""Persona 4"""
LobbyAction_danmachi2#0,"""DanMachi 2"""
LobbyAction_ksng2#0,"""KOF2"""
LobbyAction_ksng3#0,"""KOF3"""
LobbyAction_ksng4#0,"""KOF4"""
LobbyAction_sortie3#0,"""Chegada"""
LobbyAction_kono2#0,"""Konosuba 2"""
LobbyAction_kono3#0,"""Konosuba 3"""
LobbyAction_vcpose3#0,"""Fazer Pose da Vitoria 3"""
LobbyAction_aurapose#0,"""Aumentar Ki"""
LobbyAction_slaconium#0,"""S Espada de Laconium"""
LobbyAction_zidanda#0,"""Frustrado 2"""
LobbyAction_darkblastpose01#0,"""Fazer Pose de Transformacao"""
LobbyAction_handbell_do#0,"""Sino de Mao \""Do\"""""
LobbyAction_handbell_re#0,"""Sino de Mao \""Re\"""""
LobbyAction_handbell_mi#0,"""Sino de Mao \""Mi\"""""
LobbyAction_handbell_fa#0,"""Sino de Mao \""Fa\"""""
LobbyAction_handbell_so#0,"""Sino de Mao \""So\"""""
LobbyAction_handbell_ra#0,"""Sino de Mao \""La\"""""
LobbyAction_handbell_shi#0,"""Sino de Mao \""Ti\"""""
LobbyAction_1015kick#0,"""Chute 3"""
LobbyAction_darkblastpose02#0,"""Fazer Pose de Transformacao"""
LobbyAction_dnt#0,"""Prosit"""
LobbyAction_1015winnerpose#0,"""Fazer Pose de Transformacao 4"""
LobbyAction_phlg#0,"""A.T. Field"""
LobbyAction_summon#0,"""Invocar"""
LobbyAction_bubblegumfly#0,"""Balao de Chiclete"""
LobbyAction_futtobu2#0,"""Surpreendido 2"""
LobbyAction_mochitsuki#0,"""Pounding Mochi"""
LobbyAction_meteogyu#0,"""Punho Meteoro gyu."""
LobbyAction_ykzld#0,"""Skill de Batalha"""
LobbyAction_october#0,"""Skill de Espada"""
LobbyAction_tapdance#0,"""Dancar 13"""
LobbyAction_Dance13#0,"""Dancar 14"""
LobbyAction_Dance14#0,"""Dancar 15"""
LobbyAction_Dance15#0,"""Dancar 16"""
LobbyAction_Dance17#0,"""Dancar 17"""
LobbyAction_Dance18#0,"""Dancar 18"""
LobbyAction_orz#0,"""Desespero"""
LobbyAction_kabe#0,"""Inclinar"""
LobbyAction_house#0,"""Dancar 19"""
LobbyAction_momoi#0,"""Momoi"""
LobbyAction_headbanging#0,"""Headbang"""
LobbyAction_backflip#0,"""Cambalhota"""
LobbyAction_cartwheel#0,"""Estrela"""
LobbyAction_squat#0,"""Agachamento"""
LobbyAction_Dance20#0,"""Dancar 20"""
LobbyAction_Dance21#0,"""Dancar 21"""
LobbyAction_ichitarou2#0,"""Ichitaro 2"""
LobbyAction_ichitarou3#0,"""Ichitaro 3"""
LobbyAction_enomoto2#0,"""Enomoto 2"""
LobbyAction_enomoto3#0,"""Enomoto 3"""
LobbyAction_sc5_ulala#0,"""SC5 Ulala"""
LobbyAction_talking#0,"""Falando"""
LobbyAction_dance22#0,"""Dancar 22"""
LobbyAction_dance23#0,"""Dancar 23"""
LobbyAction_ichitaro4#0,"""Ichitaro 4"""
LobbyAction_visphon#0,"""Operar Termina"""
LobbyAction_koikoi#0,"""Esperanca"""
LobbyAction_dance24#0,"""Dancar 24"""
LobbyAction_dance25#0,"""Dancar 25"""
LobbyAction_dance26#0,"""Dancar 26"""
LobbyAction_airguitar#0,"""Guitarra Aerea"""
LobbyAction_dance27#0,"""Dancar 27"""
LobbyAction_horror#0,"""Horror"""
LobbyAction_dance28#0,"""Dancar 28"""
LobbyAction_yuruyuri#0,"""Akkarin"""
LobbyAction_dance29#0,"""Dancar 29"""
LobbyAction_dance30#0,"""Dancar 30"""
LobbyAction_cold#0,"""Frio"""
LobbyAction_dance31#0,"""Dancar 31"""
LobbyAction_dance32#0,"""Dancar 32"""
LobbyAction_warm#0,"""Calor"""
LobbyAction_taiki1#0,"""Esperando Ordens"""
LobbyAction_Fwpose#0,"""Fazer Pose de Criminoso"""
LobbyAction_sokuchu#0,"""Sideflip"""
LobbyAction_pose17#0,"""Fazer Pose 16"""
LobbyAction_danse33#0,"""Dancar 33"""
LobbyAction_fightpose2#0,"""Fazer Pose de Luta 2"""
LobbyAction_fightpose1#0,"""Fazer Pose de Luta 1"""
LobbyAction_dance34#0,"""Dancar 34"""
LobbyAction_dance35#0,"""Dancar 35"""
LobbyAction_sing2#0,"""Cantor"""
LobbyAction_fan#0,"""Abanando 1"""
LobbyAction_syagam#0,"""Agachar"""
LobbyAction_ bonodo#0,"""Danca ARKS"""
LobbyAction_guruguru#0,"""Correndo em Circulos"""
LobbyAction_fan2#0,"""Abanando 2"""
LobbyAction_furafura#0,"""Andar Tonto"""
LobbyAction_strech#0,"""Ginastica"""
LobbyAction_dance36#0,"""Dancar 36"""
LobbyAction_float#0,"""Flutuar"""
LobbyAction_sit4#0,"""Sentar 4"""
LobbyAction_dance37#0,"""Dancar 37"""
LobbyAction_lean2#0,"""Bater na Parede"""
LobbyAction_sidestep#0,"""Exercicio de Evasao"""
LobbyAction_lookout#0,"""Ficar Atento"""
LobbyAction_snow2#0,"""Guerra de Neve 2"""
LobbyAction_graduate#0,"""Fazer Pose de Formatura"""
LobbyAction_petal#0,"""Petalas de Flor"""
LobbyAction_kouhoutai1#0,"""Fazer Pose de Gravura"""
