IncidentJsApcBegin#0,"""APC共闘開始"""
IncidentJsApcSuccessEvo#47,"""/ci2 2 いやー、戦いに熱くなりすぎて<br>仲間とはぐれてしまってな！<br>ありがとな、助かったぜ！"""
IncidentJsApcBegin#48,"""/ci2 2 困ったフォトンを感じ取り！<br>よい子の味方、ここに見参！<br>このトナカイさんに任せておけ！"""
IncidentJsApcSuccess#48,"""/ci2 2 トナカイさんにかかれば造作もない！<br>もう一人のトナカイさんに会ったら<br>よろしく伝えてくれ！"""
IncidentJsApcFailure#46,"""/ci4 2 視界がせまい……じゃない！<br>トナカイさんは少し調子が悪いから<br>すまないが退かせてもらうぞ！"""
IncidentJsApcBeginEvo#42,"""/ci3 2 ふはははっ！\u3000まだ来るか！<br>やはりオレ……じゃなかった！<br>トナカイさんは大人気だな！"""
IncidentJsApcSuccessEvo#48,"""/ci2 2 トナカイさんにかかれば造作もない！<br>もう一人のトナカイさんに会ったら<br>よろしく伝えてくれ！"""
IncidentJsApcBegin#49,"""/ci2 2 サンタさーん！\u3000おーい！<br>こらサンタ！\u3000隠れてないで出てこい！<br>って、出てくる相手が違うしーっ！"""
IncidentJsApcSuccess#49,"""/ci2 2 手伝ってくれてありがとっ！<br>んじゃ、今度こそ本当に見つけるよっ！<br>おーい、サンタやーい！"""
IncidentJsApcFailure#47,"""/ci4 2 そんなっ……<br>謎のサンタの正体を暴くまで<br>パティちゃんは負ける訳にはっ……"""
IncidentJsApcBeginEvo#43,"""/ci3 2 お！？\u3000今度こそサンタっ！？<br>ってコレ絶対違うヤツだーっ！<br>もう、コレがサンタでいいかな？"""
IncidentJsApcSuccessEvo#49,"""/ci2 2 手伝ってくれてありがとっ！<br>んじゃ、今度こそ本当に見つけるよっ！<br>おーい、サンタやーい！"""
IncidentJsApcBegin#50,"""/ci2 2 サンタさんの手がかりは……って<br>もう、エネミーが邪魔ばっかり……！<br>すみません、手伝ってもらえませんか？"""
IncidentJsApcSuccess#50,"""/ci2 2 ご協力ありがとうございます。<br>パティちゃんのためにも<br>サンタさんを捜さないと……！"""
IncidentJsApcFailure#48,"""/ci4 2 ごめんなさい、失敗しちゃいました……<br>サンタさんの手がかりだけでも<br>つかみたいのに……"""
IncidentJsApcBeginEvo#44,"""/ci3 2 あれ？\u3000まだ何か来る気配……<br>もしかしてサンタさんの手がかりが<br>手に入るチャンスかも？"""
IncidentJsApcSuccessEvo#50,"""/ci2 2 ご協力ありがとうございます。<br>パティちゃんのためにも<br>サンタさんを捜さないと……！"""
IncidentJsApcBegin#51,"""/ci2 2 メリークリスマス、マイフレンド！<br>愛する子供たちとの聖夜を楽しむために<br>手を貸してくれないかい？"""
IncidentJsApcSuccess#51,"""/ci2 2 ありがとうマイフレンド！<br>これで愛する子供たちとの聖夜を<br>思う存分楽しむ事ができるよ！"""
IncidentJsApcFailure#49,"""/ci4 2 愛する子供たちをこれ以上危険な目に<br>遭わせる訳にはいかない……<br>すまないけれど、撤退させてもらうよ。"""
IncidentJsApcBeginEvo#45,"""/ci3 2 聖夜に紡いだ、僕と愛する子供たちの<br>絆の強さにかなうものなんていないよ！"""
IncidentJsApcSuccessEvo#51,"""/ci2 2 ありがとうマイフレンド！<br>これで愛する子供たちとの聖夜を<br>思う存分楽しむ事ができるよ！"""
IncidentJsApcBegin#52,"""/ci2 2 アウロラにせがまれて来たら<br>厄介ごとに巻き込まれたのよ。<br>わかったら早く手伝ってくれないっ？"""
IncidentJsApcSuccess#52,"""/ci2 2 この格好がなんですって？<br>アウロラがどうしてもって言うから……<br>な、なにか文句でもあるの！？"""
IncidentJsApcFailure#50,"""/ci4 2 くっ、これ以上は無意味ね……<br>ここは下がらせてもらうわ。"""
IncidentJsApcBeginEvo#46,"""/ci3 2 新手が来るわよ、アウロラ！<br>さっさと倒してイベントに戻りたい？<br>はいはい、ならとっとと片付けるわよ！"""
IncidentJsApcSuccessEvo#52,"""/ci2 2 この格好がなんですって？<br>アウロラがどうしてもって言うから……<br>な、なにか文句でもあるの！？"""
IncidentJsApcBegin#53,"""/mn38 /ci2 2 あ、良かった。あのねトナカイ帽子の<br>クラリスクレイスちゃん、見なかった？<br>……って、わわ、戦わなきゃ！"""
IncidentJsApcSuccess#53,"""/mn37 /ci2 2 本当はあなたと一緒に過ごしたいけど<br>一緒に来た子を捜さないと……<br>えっと、メリークリスマスっ！"""
IncidentJsApcBeginEvo#47,"""/mn37 /ci2 2 まだ来るみたいだね。<br>でも、聖夜にあなたと一緒に戦えるなら<br>もっと来てもいいかな……？"""
IncidentJsApcSuccessEvo#53,"""/mn37 /ci2 2 本当はあなたと一緒に過ごしたいけど<br>一緒に来た子を捜さないと……<br>えっと、メリークリスマスっ！"""
IncidentJsApcBegin#54,"""/mn38 /ci2 2 ヒューイ！\u3000先代！\u3000どこいったー？<br>おお、貴様か！\u3000ちょうどいい！<br>コイツらを倒すのを手伝え！"""
IncidentJsApcSuccess#54,"""/mn37 /ci2 2 この格好が気になるのか？<br>これは聖夜の守護獣、トナカイさんだ！<br>皆の聖夜は私が護る！\u3000ではまたなっ！"""
IncidentJsApcBeginEvo#48,"""/mn37 /ci2 2 ふふん、強い気配か……<br>だが、トナカイさんは絶対に負けない！<br>一気に倒してやろう！"""
IncidentJsApcSuccessEvo#54,"""/mn37 /ci2 2 この格好が気になるのか？<br>これは聖夜の守護獣、トナカイさんだ！<br>皆の聖夜は私が護る！\u3000ではまたなっ！"""
IncidentJsApcBegin#55,"""/ci1 1 ちっ、助太刀に来たつもりが<br>囲まれるとか、格好つかねえが……<br>悪い、手を貸してもらえるか？"""
IncidentJsApcSuccess#55,"""/ci1 1 ありがとな、助かったぜ！<br>あ、ヒツギとイベントに行くつもりなら<br>ひと声掛けろよ！\u3000じゃあな！"""
IncidentJsApcFailure#51,"""/ci1 1 嘘だろ、しくじっちまった……<br>悪い、退かせてもらうぞ。"""
IncidentJsApcSuccessEvo#55,"""/ci1 1 ありがとな、助かったぜ！<br>あ、ヒツギとイベントに行くつもりなら<br>ひと声掛けろよ！\u3000じゃあな！"""
